,Athlete,Athlete_Country,Rank,Event_Name,Discipline,Category
0, Andreas BAND ,GER,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AU-1 (Arm Amputee)
1, Kevin BARTKE ,GER,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AU-2 (Forearm Amputee)
2, Gabriele SCORSOLINI ,ITA,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B1
3, Francisco Javier AGUILAR AMOEDO ,ESP,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B1
4, Giulio CEVENINI ,ITA,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
5, Simone SALVAGNIN ,ITA,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
6, Razvan NEDU ,ROU,3,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
7, John CHURCHER ,GBR,4,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
8, Florin Alin ANA ,ROU,5,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
9, Roland KÖCHL ,AUT,6,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
10, Hans Ewald GRILL ,AUT,7,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men visual impairment B2
11, Lorenzo MAJOR ,ITA,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-1 (seating)
12, Christian HASELGRUBER ,AUT,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-1 (seating)
13, Michele_old MAGGIONI ,ITA,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
14, Frederik LEYS ,BEL,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
15, Urko CARMONA BARANDIARAN ,ESP,3,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
16, Thomas MEIER ,GER,4,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
17, Albert GUARDIA FERRER ,ESP,5,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
18, Hassan MIRZAHOSSEINI ,IRI,6,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
19, Phillip MITCHELL ,GBR,7,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
20, Martin HEALD  ,GBR,8,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
21, Günther GRAUSAM ,GER,9,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
22, Omar AL KHATIB ,ITA,10,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
23, Josh SENIOR ,GBR,11,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
24, Keith LYNCH ,GBR,12,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men AL-2
25, Nils HELSPER ,GER,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP1
26, Florian SINGER ,GER,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP1
27, Korbinian FRANCK ,GER,3,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP1
28, Fedde BENEDICTUS ,NED,4,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP1
29, Gian Matteo RAMINI ,ITA,5,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP1
30, Simon TAUDES ,AUT,6,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP1
31, Behnam KHALAJI ,IRI,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP2
32, Alessio CORNAMUSINI ,ITA,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP2
33, Michael FÜCHSLE ,GER,3,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP2
34, Bostian HALAS ,AUT,4,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP2
35, Gregor SELAK ,SLO,1,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
36, Juan Pipo GIL BLANCO ,ESP,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
37, Manikandan KUMAR ,IND,2,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
38, Dave BOWES ,GBR,4,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
39, Peter KUNZE ,GER,5,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
40, Mehdi PAHNAVAR ,IRI,6,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
41, Daniel WIENER ,AUT,7,Paraclimbing Master (L) - Imst (AUT) 2017,lead,Men RP3
