,Name,Country,Age,Height
0,Egor TRAPEZNIKOV,RUS,-, -
1,Sergey KOKORIN,RUS,-, -
2,Brice DYER,USA,-, -
3,Leilei LIU,CHN,-, -
4,Yevgeniy MOSKALENKO,KAZ,-, -
5,Yingfen TIAN,CHN,-, -
6,Ross KISER,USA,-, -
7,Edmund Jr GEMELO,PHI,-, -
8,Michael STEENS,NZL,-, -
9,Pan MI,CHN,-, -
10,Matthew COCHRANE,AUS,-, -
11,Bin XIAO,CHN,-, -
12,Ivan LUKETINA,NZL,-, -
13,Jimmy ANDERSON,NZL,-, -
14,Chi-Kwan CHAN,HKG,-, -
15,Nic SUTTON,USA,-, -
16,Ryan LITTLEFIELD,USA,-, -
17,Bodley ZHANG,HKG,-, -
18,Sebastian POSSO,ECU,-, -
19,Peter CRANE,AUS,-, -
20,Joe HORAN,AUS,-, -
21,Andrew CALDER,CAN,-, -
22,Patrick VALADE,CAN,-, -
23,Connor MACPHERSON,AUS,-, -
24,Phasuk SARUN,THA,-, -
25,Zac KEEGAN,NZL,-, -
26,Douglas BOETHLING,USA,-, -
27,Seungjin CHOI,KOR,-, -
28,Jim MCGUINNES,AUS,-, -
29,Xinbo LIU,CHN,-, -
30,Brendan TERSMETTE,CAN,-, -
31,Owen DAVEY,AUS,-, -
32,Jared ARNSTEN,USA,-, -
33,Mikhail USHAKOV,RUS,-, -
34,Ian TOLAR,USA,-, -
35,Lawrence Luis MISTADES,PHI,-, -
36,Manuel Marti DAVID,PHI,-, -
37,Michael WELDON,CAN,-, -
38,Samuel HARGREAVES,AUS,-, -
39,Shengqiang LI,CHN,-, -
40,Numchan PAYOM,THA,-, -
41,Uppakham KHAETTHALEEYA,THA,-, -
42,Thongsuk VASSANA,THA,-, -
43,Lida BAGHERINEJAD,IRI,-, -
44,Yazdkhasti ADELEH,IRI,-, -
45,Abdolrahimi NASRIN,IRI,-, -
46,Hamedi SHADI,IRI,-, -
47,Behzad FERDOSIPOUR,IRI,-, -
48,Mohssen HASHEMIYAN,IRI,-, -
49,Hassan JAVADIYAN,IRI,-, -
50,Ganesh CHHETRI,IND,-, -
51,Phairat KAEWKAN,THA,-, -
52,Chirasak NASUAN,THA,-, -
53,Ahmad NAMARVARI,IRI,-, -
54,Fouladi ABOULFAZL,IRI,-, -
55,Tghiabadi ESMAEIL,IRI,-, -
56,Manrodi MEHDI,IRI,-, -
57,Rajabi MAYSAM,IRI,-, -
58,Khatami MAHMOUD,IRI,-, -
59,Alvandi MAJID,IRI,-, -
60,Tala Marie TANINGCO,PHI,-, -
61,Suzanne DAVIS,PHI,-, -
62,Manami SHIRAISHI,JPN,-, -
63,Ka-Yi CHAN,HKG,-, -
64,Kavya SHARMA,IND,-, -
65,Mihoko IMOTO,JPN,-, -
66,Chi WANG,TPE,-, -
67,Tohma KUNIYA,JPN,36, -
68,Chun-Cheung TSANG,HKG,-, -
69,Meizan Diandra NATADININGRAT,INA,-, -
70,John Michael SARMIENTO,PHI,-, -
71,Martin Angelo CU,PHI,-, -
72,Muhammad Harfin NATADININGRAT,INA,-, -
73,Anubhav GARGI,IND,-, -
74,Yusuke OTA,JPN,-, -
75,Sarun PHASUK,THA,-, -
76,Sugeng PAMUNKGAS,INA,-, -
77,Ka-Shing CHAN,HKG,-, -
78,Khevin YU,PHI,-, -
79,Weiling QIAN,CHN,-, -
80,David Immanuel JINGCO,PHI,-, -
81,Jeff Rey BUSTAMANTE,PHI,-, -
82,Chia Cherng SHYU,TPE,-, -
83,Dongeun LEE,KOR,-, -
84,Chia Juh CHANG,TPE,-, -
85,Jayme HATCH,USA,-, -
86,Rebekah BYINGTON,USA,-, -
87,Page STIERS,USA,-, -
88,Alfiya KARPEKOVA,KAZ,-, -
89,Phoebe BLYTH,AUS,-, -
90,Annika FYFE,NZL,-, -
91,Amy HOLLAND,NZL,-, -
92,Dina DUDNIK,KAZ,-, -
93,Natasha CALDER,CAN,-, -
94,Hilary RATHBONE,CAN,-, -
95,Olexandra D'YACHENKO,UKR,-, -
96,Elisa MARTIN,ESP,-, -
97,Tetiana ANDRUSHCHUK,UKR,-, -
98,Veronika SRHOLCOVA,CZE,-, -
99,Brooke MCGOEY,CAN,-, -
100,Georgia ORME,NZL,-, -
101,Sarah MCNICHOLS,USA,-, -
102,Caitlan PINCHIN,CAN,-, -
103,Nikki SELLES,AUS,-, -
104,Amelie MORIN,CAN,-, -
105,Kirky OLSEN,USA,-, -
106,Stefania PATA,GRE,-, -
107,Rachael PARK,USA,-, -
108,Shawnee FINLAYSON,AUS,-, -
109,Aleksandra NOWOSAD,POL,-, -
110,Tetyana BOZHKO,UKR,-, -
111,Mandisa CHIRO,USA,-, -
112,Maja BOZIC,CRO,-, -
113,Bryan HOPKINS,USA,-, -
114,Panagiotis SOTIRIS,GRE,-, -
115,Roberto MATTIELLO,ITA,-, -
116,Manuel MURCIA COSGAYA,ESP,-, -
117,Conrad MURRAY,NZL,-, -
118,Shane FINLAYSON,AUS,-, -
119,Oier IRIBARREN BARRERA,ESP,-, -
120,Weston ROSS,USA,-, -
121,Benjamin WISNIEWSKI,USA,-, -
